,from,to,human_ligand,human_receptor
2661,AMEX60DD034535,AMEX60DD016907,PSEN1,NCSTN
2663,AMEX60DD024186,AMEX60DD035890,GNAI2,LHCGR
2665,AMEX60DD033801,AMEX60DD035890,CGA,LHCGR
2667,AMEX60DD048261,AMEX60DD035090,GAS6,MERTK
2668,AMEX60DD048309,AMEX60DD035090,PROS1,MERTK
2693,AMEX60DD042504,AMEX60DD056076,EDIL3,ITGB5
2696,AMEX60DD041384,AMEX60DD056076,TLN1,ITGB5
2698,AMEX60DD019011,AMEX60DD056076,CCN1,ITGB5
2699,AMEX60DD002596,AMEX60DD056076,ADAM9,ITGB5
2700,AMEX60DD055544,AMEX60DD056076,COL18A1,ITGB5
2702,AMEX60DD025240,AMEX60DD056076,LTBP3,ITGB5
2703,AMEX60DD035209,AMEX60DD056076,LTBP1,ITGB5
2705,AMEX60DD021621,AMEX60DD044974,SHH,HHIP
2707,AMEX60DD037141,AMEX60DD042070,COL4A5,ITGA2
2708,AMEX60DD034687,AMEX60DD042070,LAMA2,ITGA2
2709,AMEX60DD039130,AMEX60DD042070,LAMA1,ITGA2
2710,AMEX60DD050385,AMEX60DD042070,LAMC3,ITGA2
2711,AMEX60DD055540,AMEX60DD042070,COL6A1,ITGA2
2712,AMEX60DD032708,AMEX60DD042070,COL4A4,ITGA2
2713,AMEX60DD018809,AMEX60DD042070,COL11A1,ITGA2
2714,AMEX60DD055538,AMEX60DD042070,COL6A2,ITGA2
2715,AMEX60DD031839,AMEX60DD042070,COL4A3,ITGA2
2716,AMEX60DD029426,AMEX60DD042070,COL2A1,ITGA2
2717,AMEX60DD048295,AMEX60DD042070,VEGFD,ITGA2
2718,AMEX60DD049490,AMEX60DD042070,MMP1,ITGA2
2719,AMEX60DD052146,AMEX60DD042070,HSPG2,ITGA2
2720,AMEX60DD008951,AMEX60DD042070,LAMB3,ITGA2
2722,AMEX60DD022398,AMEX60DD042070,COL1A2,ITGA2
2723,AMEX60DD047873,AMEX60DD042070,COL4A1,ITGA2
2724,AMEX60DD055420,AMEX60DD042070,FN1,ITGA2
2726,AMEX60DD055165,AMEX60DD042070,COL3A1,ITGA2
2727,AMEX60DD005285,AMEX60DD042354,F2,F2RL2
2728,AMEX60DD034920,AMEX60DD042348,PLG,F2RL1
2729,AMEX60DD005285,AMEX60DD042348,F2,F2RL1
2730,AMEX60DD004706,AMEX60DD042628,NUCB2,ERAP1
2734,AMEX60DD024186,AMEX60DD038156,GNAI2,ADCY1
2737,AMEX60DD055420,AMEX60DD040387,FN1,TNFRSF11B
2742,AMEX60DD052412,AMEX60DD007737,CXCL12,AVPR1A
2743,AMEX60DD046200,AMEX60DD007737,AVP,AVPR1A
2745,AMEX60DD044847,AMEX60DD050088,FAT4,DCHS1
2755,AMEX60DD048261,AMEX60DD024484,GAS6,AXL
2756,AMEX60DD048309,AMEX60DD024484,PROS1,AXL
2759,AMEX60DD024186,AMEX60DD049589,GNAI2,MTNR1A
2761,AMEX60DD052412,AMEX60DD049589,CXCL12,MTNR1A
2764,AMEX60DDU001037181,AMEX60DD049589,NMS,MTNR1A
2765,AMEX60DD037665,AMEX60DD049589,APLN,MTNR1A
2766,AMEX60DD009927,AMEX60DD049589,NPY,MTNR1A
2770,AMEX60DD031971,AMEX60DD049589,CALR,MTNR1A
2784,AMEX60DD039745,AMEX60DD049589,PENK,MTNR1A
2788,AMEX60DD043190,AMEX60DD049589,ANXA1,MTNR1A
2809,AMEX60DD052549,AMEX60DD028021,DKK1,KREMEN2
2814,AMEX60DD046200,AMEX60DD027709,AVP,ADRB2
2816,AMEX60DD002298,AMEX60DD027709,TF,ADRB2
2819,AMEX60DD053480,AMEX60DD027709,HSPA8,ADRB2
2820,AMEX60DD039450,AMEX60DD027709,ADCYAP1,ADRB2
2823,AMEX60DD033801,AMEX60DD027709,CGA,ADRB2
2828,AMEX60DD004926,AMEX60DD027709,FSHB,ADRB2
2830,AMEX60DD035607,AMEX60DD027709,ACTR2,ADRB2
2834,AMEX60DD024186,AMEX60DD018824,GNAI2,S1PR1
2837,AMEX60DDU001037181,AMEX60DD003039,NMS,NMUR1
2840,AMEX60DD025368,AMEX60DD049625,CALM1,GRM5
2844,AMEX60DD039516,AMEX60DD040162,LAMA3,SDC2
2845,AMEX60DD039130,AMEX60DD040162,LAMA1,SDC2
2847,AMEX60DD004386,AMEX60DD040162,HRAS,SDC2
2848,AMEX60DD018201,AMEX60DD040162,SERPINC1,SDC2
2849,AMEX60DD055420,AMEX60DD040162,FN1,SDC2
2850,AMEX60DD024186,AMEX60DD001912,GNAI2,P2RY12
2854,AMEX60DD009927,AMEX60DD044169,NPY,NPFFR2
2862,AMEX60DD025368,AMEX60DD021318,CALM1,AQP1
2870,AMEX60DD038838,AMEX60DD045012,EDN2,EDNRA
2895,AMEX60DD046200,AMEX60DD020537,AVP,PTH1R
2899,AMEX60DD039450,AMEX60DD020537,ADCYAP1,PTH1R
2902,AMEX60DD033801,AMEX60DD020537,CGA,PTH1R
2907,AMEX60DD004926,AMEX60DD020537,FSHB,PTH1R
2912,AMEX60DD003208,AMEX60DD030734,UTS2B,UTS2R
2913,AMEX60DDU001008287,AMEX60DD001568,PDX1,SLC2A2
2914,AMEX60DD046200,AMEX60DD023546,AVP,OXTR
2922,AMEX60DD046200,AMEX60DD021330,AVP,VIPR1
2926,AMEX60DD039450,AMEX60DD021330,ADCYAP1,VIPR1
2929,AMEX60DD033801,AMEX60DD021330,CGA,VIPR1
2935,AMEX60DD004926,AMEX60DD021330,FSHB,VIPR1
2936,AMEX60DD003045,AMEX60DD021330,PTMA,VIPR1
2937,AMEX60DD025368,AMEX60DD021330,CALM1,VIPR1
2958,AMEX60DD052549,AMEX60DD001149,DKK1,KREMEN1
2962,AMEX60DD034661,AMEX60DD001552,AFDN,EPHB3
2966,AMEX60DD009927,AMEX60DD030157,NPY,NPY2R
2969,AMEX60DD052412,AMEX60DD037920,CXCL12,CCR4
2972,AMEX60DD008263,AMEX60DD027843,NTN4,UNC5A
2982,AMEX60DD007022,AMEX60DD006522,PTN,PTPRB
2997,AMEX60DD019011,AMEX60DD006319,CCN1,CAV1
2998,AMEX60DD018576,AMEX60DD006319,PTGS2,CAV1
2999,AMEX60DD004386,AMEX60DD006319,HRAS,CAV1
3007,AMEX60DD048160,AMEX60DD046037,FGF14,FGFR3
3009,AMEX60DD002799,AMEX60DD046037,FGF17,FGFR3
3010,AMEX60DD037078,AMEX60DD046037,FGF16,FGFR3
3011,AMEX60DD003212,AMEX60DD046037,FGF12,FGFR3
3012,AMEX60DD049338,AMEX60DD046037,FGF9,FGFR3
3018,AMEX60DD043761,AMEX60DD031740,NRG1,ADGRL1
3020,AMEX60DD008053,AMEX60DD021298,UCN3,CRHR2
3024,AMEX60DD003468,AMEX60DD003881,RGMA,NEO1
3033,AMEX60DD052019,AMEX60DD055396,NRG3,ERBB4
3034,AMEX60DD043761,AMEX60DD055396,NRG1,ERBB4
3037,AMEX60DD044182,AMEX60DD055396,BTC,ERBB4
3038,AMEX60DD034258,AMEX60DD055396,CCN2,ERBB4
3076,AMEX60DD025368,AMEX60DD033597,CALM1,KCNQ5
3078,AMEX60DD034687,AMEX60DD030446,LAMA2,RPSA
3079,AMEX60DD039130,AMEX60DD030446,LAMA1,RPSA
3085,AMEX60DDU001003602,AMEX60DD053205,NCAM1,GFRA1
3086,AMEX60DD041932,AMEX60DD053205,GDNF,GFRA1
3087,AMEX60DD020026,AMEX60DD053205,ARTN,GFRA1
3130,AMEX60DD014862,AMEX60DD052346,EFNA1,EPHA2
3131,AMEX60DD014882,AMEX60DD052346,EFNA4,EPHA2
3136,AMEX60DD036126,AMEX60DD022702,TGFB2,TGFBR2
3137,AMEX60DD054671,AMEX60DD026376,S100A10,TRPV6
3141,AMEX60DD052255,AMEX60DD022256,MBL2,CALCR
3142,AMEX60DD053034,AMEX60DD012123,GSTO1,RYR1
3143,AMEX60DD047700,AMEX60DD003146,TNFSF13B,TFRC
3144,AMEX60DD002298,AMEX60DD003146,TF,TFRC
3146,AMEX60DD045327,AMEX60DD055040,VEGFC,NRP2
3147,AMEX60DD024179,AMEX60DD055040,SEMA3B,NRP2
3148,AMEX60DD036418,AMEX60DD055040,VEGFA,NRP2
3149,AMEX60DD025282,AMEX60DD055040,PGF,NRP2
3151,AMEX60DD039450,AMEX60DD055776,ADCYAP1,DPP4
3155,AMEX60DD052412,AMEX60DD055776,CXCL12,DPP4
3156,AMEX60DD009927,AMEX60DD055776,NPY,DPP4
3158,AMEX60DD027633,AMEX60DD055776,ADA,DPP4
3162,AMEX60DD009927,AMEX60DD045196,NPY,NPY1R
3178,AMEX60DD034661,AMEX60DD016868,AFDN,NECTIN4
3193,AMEX60DD034661,AMEX60DD033914,AFDN,EPHA7
3194,AMEX60DD014882,AMEX60DD033914,EFNA4,EPHA7
3195,AMEX60DD029426,AMEX60DD015201,COL2A1,ITGA10
3204,AMEX60DD028845,AMEX60DD044043,GDF9,BMPR1A
3205,AMEX60DD027336,AMEX60DD044043,BMP7,BMPR1A
3208,AMEX60DD028514,AMEX60DD044043,GDF5,BMPR1A
3211,AMEX60DD031854,AMEX60DD020063,ANGPTL2,TIE1
3213,AMEX60DD040289,AMEX60DD020063,ANGPT1,TIE1
3220,AMEX60DD014882,AMEX60DD005849,EFNA4,EPHA10
3233,AMEX60DD033593,AMEX60DD052002,RIMS1,SLC18A3
3236,AMEX60DD049259,AMEX60DD051734,ALOX5AP,ALOX5
3237,AMEX60DD051219,AMEX60DD044563,AGRN,MUSK
3238,AMEX60DD022816,AMEX60DD044563,COLQ,MUSK
3241,AMEX60DD028845,AMEX60DD054991,GDF9,BMPR2
3242,AMEX60DD027336,AMEX60DD054991,BMP7,BMPR2
3245,AMEX60DD003468,AMEX60DD054991,RGMA,BMPR2
3246,AMEX60DD036418,AMEX60DD052063,VEGFA,EPHB2
3247,AMEX60DD034661,AMEX60DD052063,AFDN,EPHB2
3249,AMEX60DD027512,AMEX60DD013570,PLTP,ABCA1
3250,AMEX60DD028845,AMEX60DD038999,GDF9,TGFBR1
3254,AMEX60DD041932,AMEX60DD022850,GDNF,EDNRB
3271,AMEX60DD051219,AMEX60DD005288,AGRN,LRP4
3272,AMEX60DD043761,AMEX60DD004952,NRG1,LGR4
