,from,to,type,pathway
298,Apoa1,Cubn,Secreted Signaling,
299,Cyp27b1,Vdr,Secreted Signaling,
300,Hsd3b2,Catsper1_catsperb,Secreted Signaling,
301,Hsd3b2,Catsper1,Secreted Signaling,
302,Hsd3b2,Catsperb,Secreted Signaling,
303,Hsd3b2,Catsper1_catsperd,Secreted Signaling,
304,Hsd3b2,Catsperd,Secreted Signaling,
305,Hsd3b2,Catsper2_catsperb,Secreted Signaling,
306,Hsd3b2,Catsper2,Secreted Signaling,
307,Hsd3b2,Catsper2_catsperd,Secreted Signaling,
308,Hsd3b2,Catsper3_catsperb,Secreted Signaling,
309,Hsd3b2,Catsper3,Secreted Signaling,
310,Hsd3b2,Catsper3_catsperd,Secreted Signaling,
311,Hsd3b2,Catsper4_catsperb,Secreted Signaling,
312,Hsd3b2,Catsper4,Secreted Signaling,
313,Hsd3b2,Catsper4_catsperd,Secreted Signaling,
314,Cel,Rora,Secreted Signaling,
315,Cel,Rorc,Secreted Signaling,
316,Dhcr24,Rora,Secreted Signaling,
317,Dhcr24,Rorc,Secreted Signaling,
318,Dhcr7,Rora,Secreted Signaling,
319,Dhcr7,Rorc,Secreted Signaling,
320,Lipa,Rora,Secreted Signaling,
321,Lipa,Rorc,Secreted Signaling,
322,Cyp11b2,Nr3c1,Secreted Signaling,
323,Cyp11b2,Nr3c2,Secreted Signaling,
324,Sult1e1,Pparg,Secreted Signaling,
325,Sult1e1,Ppara,Secreted Signaling,
326,Sult2a1,Pparg,Secreted Signaling,
327,Sult2a1,Ppara,Secreted Signaling,
328,Ubash3b,Nr1i2,Secreted Signaling,
329,Ubash3b,Esr1,Secreted Signaling,
330,Ubash3b,Ppara,Secreted Signaling,
331,Dhcr7,Nr1h2,Secreted Signaling,
332,Dhcr7,Nr1h3,Secreted Signaling,
333,Cyp21a1,Nr3c2,Secreted Signaling,
334,Srd5a1,Ar,Secreted Signaling,
335,Srd5a2,Ar,Secreted Signaling,
336,Srd5a3,Ar,Secreted Signaling,
337,Pnmt,Adrb2,Secreted Signaling,
338,Pnmt,Adrb1,Secreted Signaling,
339,Pnmt,Adra2a,Secreted Signaling,
340,Pnmt,Adrb3,Secreted Signaling,
341,Pnmt,Adra2b,Secreted Signaling,
342,Pnmt,Adra2c,Secreted Signaling,
343,Pnmt,Adra1d,Secreted Signaling,
344,Pnmt,Adra1a,Secreted Signaling,
345,Pnmt,Adra1b,Secreted Signaling,
346,Cyp19a1,Nr1i2,Secreted Signaling,
347,Cyp19a1,Esr1,Secreted Signaling,
348,Cyp19a1,Esr2,Secreted Signaling,
349,Cyp19a1,Gper1,Secreted Signaling,
350,Hsd17b1,Nr1i2,Secreted Signaling,
351,Hsd17b1,Esr1,Secreted Signaling,
352,Hsd17b1,Esr2,Secreted Signaling,
353,Hsd17b1,Gper1,Secreted Signaling,
354,Wnt1,Ryk_fzd8,Secreted Signaling,
355,Wnt1,Ryk,Secreted Signaling,
356,Wnt1,Fzd8,Secreted Signaling,
357,Wnt5a,Ryk_fzd8,Secreted Signaling,
358,Wnt5a,Ryk,Secreted Signaling,
359,Wnt5a,Fzd8,Secreted Signaling,
360,Wnt3,Ryk_fzd8,Secreted Signaling,
361,Wnt3,Ryk,Secreted Signaling,
362,Wnt3,Fzd8,Secreted Signaling,
363,Wnt3a,Ryk_fzd8,Secreted Signaling,
364,Wnt3a,Ryk,Secreted Signaling,
365,Wnt3a,Fzd8,Secreted Signaling,
366,Vegfa,Flt1_kdr,Secreted Signaling,
367,Vegfa,Flt1,Secreted Signaling,
368,Vegfa,Kdr,Secreted Signaling,
369,Pgf,Flt1_kdr,Secreted Signaling,
370,Pgf,Flt1,Secreted Signaling,
371,Pgf,Kdr,Secreted Signaling,
372,Vegfb,Flt1_kdr,Secreted Signaling,
373,Vegfb,Flt1,Secreted Signaling,
374,Vegfb,Kdr,Secreted Signaling,
375,Alb,B2m_fcgrt,Secreted Signaling,
376,Alb,B2m,Secreted Signaling,
377,Alb,Fcgrt,Secreted Signaling,
378,Cga_fshb,Fshr,Secreted Signaling,
379,Cga,Fshr,Secreted Signaling,
380,Fshb,Fshr,Secreted Signaling,
381,Gal,Galr1_gpr151,Secreted Signaling,
382,Gal,Galr1,Secreted Signaling,
383,Gal,Gpr151,Secreted Signaling,
384,Galp,Galr1_gpr151,Secreted Signaling,
385,Galp,Galr1,Secreted Signaling,
386,Galp,Gpr151,Secreted Signaling,
387,Gal,Galr2_gpr151,Secreted Signaling,
388,Gal,Galr2,Secreted Signaling,
389,Spx,Galr2_gpr151,Secreted Signaling,
390,Spx,Galr2,Secreted Signaling,
391,Spx,Gpr151,Secreted Signaling,
392,Galp,Galr2_gpr151,Secreted Signaling,
393,Galp,Galr2,Secreted Signaling,
394,Gal,Galr3_gpr151,Secreted Signaling,
