,from,to,pathway,database
396,numb,pon,ppi,ppi
397,numb,pon,ppi,ppi
398,numb,pon,ppi,ppi
399,numb,pon,ppi,ppi
400,numb,pon,ppi,ppi
401,numb,pon,ppi,ppi
402,numb,pon,ppi,ppi
403,numb,pon,ppi,ppi
404,Chi,Chi,ppi,ppi
405,Chi,Chi,ppi,ppi
406,cnn,asl,ppi,ppi
407,cnn,asl,ppi,ppi
408,cnn,asl,ppi,ppi
409,cnn,asl,ppi,ppi
410,cnn,asl,ppi,ppi
411,IntS14,IntS12,ppi,ppi
412,His3,Pc,ppi,ppi
413,CG10321,sel,ppi,ppi
414,Ibf1,CG4936,ppi,ppi
415,RpL37a,CG12769,ppi,ppi
416,Taf11,Dlip3,ppi,ppi
417,Galphao,Dhit,ppi,ppi
418,Galphao,Dhit,ppi,ppi
419,Galphao,Dhit,ppi,ppi
420,Galphao,Dhit,ppi,ppi
421,TfIIFbeta,TfIIS,ppi,ppi
422,brk,Hr39,ppi,ppi
423,CG11247,PQBP1,ppi,ppi
424,ttk,Mi-2,ppi,ppi
425,ttk,Mi-2,ppi,ppi
426,SoxN,CG4078,ppi,ppi
427,CG18011,Dlip1,ppi,ppi
428,CG18011,Dlip1,ppi,ppi
429,Hakai,Larp4B,ppi,ppi
430,Poxn,Fkbp12,ppi,ppi
431,SA,SMC1,ppi,ppi
432,SA,SMC1,ppi,ppi
433,SA,SMC1,ppi,ppi
434,l(3)73Ah,grh,ppi,ppi
435,dimm,CG1738,ppi,ppi
436,p53,Dlip3,ppi,ppi
437,Ubx,CG34163,ppi,ppi
438,CG16863,LSm3,ppi,ppi
439,eEF2,PHDP,ppi,ppi
440,tsh,cindr,ppi,ppi
441,su(f),hrg,ppi,ppi
442,Trf,robl,ppi,ppi
443,CG17127,CG32264,ppi,ppi
444,dsx,CG17765,ppi,ppi
445,CG6907,Swip-1,ppi,ppi
446,CG8461,Pbp45,ppi,ppi
447,dpn,Df31,ppi,ppi
448,lwr,tna,ppi,ppi
449,lwr,tna,ppi,ppi
450,vvl,Karybeta3,ppi,ppi
451,Kdm2,grh,ppi,ppi
452,wit,lqf,ppi,ppi
453,CG7372,CG10979,ppi,ppi
454,sens,CG8478,ppi,ppi
455,en,chb,ppi,ppi
456,spel1,CG6808,ppi,ppi
457,su(Hw),pre-mod(mdg4)-T,ppi,ppi
458,CG11294,CG8944,ppi,ppi
459,Ibf1,CG6808,ppi,ppi
460,AnxB10,PHDP,ppi,ppi
461,Atxn7,CG12054,ppi,ppi
